Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Species
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Sididae,NA,Latona,setifera
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,ashlandi
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,coloradensis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,minutus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,novamexicanus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,nudus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,sicilis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,siciloides
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,signicauda
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Leptodiaptomus,tyrrelli
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Leptodoridae,NA,Leptodora,kindti
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Leydigia,NA
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Centropagidae,NA,Limnocalanus,macrurus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Macrocyclops,albidus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Macrocyclops,fuscus
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Macrothricidae,NA,Macrothrix,NA
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Mesocyclops,edax
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Microcyclops,rubellus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Microcyclops,varicans
Arthropoda,Hexapoda,Insecta,NA,Diptera,NA,Chaoboridae,NA,Mochlonyx,NA
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Moinidae,NA,Moina,macrocopa
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Moinidae,NA,Moina,micrura
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Monospilus,dispar
Arthropoda,Crustacea,Malacostraca,NA,Mysida,NA,Mysidae,NA,Mysis,NA
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Onychodiaptomus,birgei
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Onychodiaptomus,sanguineus
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Macrothricidae,NA,Ophryoxus,gracilis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Orthocyclops,modestus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Centropagidae,NA,Osphranticum,labronectum
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Oxyurella,brevicaudis
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Macrothricidae,NA,Parophryoxus,tubulatus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Pleuroxus,denticulatus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Pleuroxus,procurvus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Pleuroxus,straminius
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Pleuroxus,striatus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Pleuroxus,trigonellus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Polyphemidae,NA,Polyphemus,pediculus
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Chydoridae,NA,Rhynochotalona,falcata
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Daphniidae,NA,Scapholeberis,mucronata
Arthropoda,Crustacea,Branchiopoda,NA,NA,Cladocera,Sididae,NA,Sida,crystallina
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Daphniidae,NA,Simocephalus,exspinosus
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Daphniidae,NA,Simocephalus,serrulatus
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Daphniidae,NA,Simocephalus,vetulus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Skistodiaptomus,mississippiensis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Eucopepoda,NA,Diaptomidae,NA,Skistodiaptomus,oregonensis
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Skistodiaptomus,pallidus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Skistodiaptomus,pygmaeus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Calanoida,NA,Diaptomidae,NA,Skistodiaptomus,reighardi
Arthropoda,Crustacea,Branchiopoda,NA,Cladocera,NA,Macrothricidae,NA,Streblocerus,serricaudatus
Arthropoda,Crustacea,Maxillopoda,Copepoda,Cyclopoida,NA,Cyclopidae,NA,Tropocyclops,prasinus mexicanus
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Anuraeopsis,fissa
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Anuraeopsis,navicula
Rotifera,NA,Monogononta,NA,Ploima,NA,Asplanchnidae,NA,Asplanchna,brightwelli
Rotifera,NA,Monogononta,NA,Ploima,NA,Asplanchnidae,NA,Asplanchna,herricki
Rotifera,NA,Monogononta,NA,Ploima,NA,Asplanchnidae,NA,Asplanchna,priodonta
Rotifera,NA,Monogononta,NA,Ploima,NA,Gastropidae,NA,Ascomorpha,ecaudis
Rotifera,NA,Monogononta,NA,Ploima,NA,Gastropidae,NA,Ascomorpha,saltans
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Bipalpus,hudsoni
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,angularis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,bidentata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,calyciflorus
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,caudatus
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,havanaensis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,quadridentatus
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,rubens
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,urceolaris
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Brachionus,variabilis
Rotifera,NA,Monogononta,NA,Collothecaceae,NA,Collothecidae,NA,Collotheca,mutabilis
Rotifera,NA,Monogononta,NA,Collothecaceae,NA,Collothecidae,NA,Collotheca,pelagica
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Conochilidae,NA,Conochiloides,coenobasis
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Conochilidae,NA,Conochiloides,dossuarius
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Conochilidae,NA,Conochiloides,natans
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Conochilidae,NA,Conochilus,hippocrepis
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Conochilidae,NA,Conochilus,unicornis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,alata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,calpidia
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,dilatata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,meneta
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,parva
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,pellucida
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Euchlanis,triquetra
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Filinidae,NA,Filinia,longiseta
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Filinidae,NA,Filinia,terminalis
Rotifera,NA,Monogononta,NA,Ploima,NA,Gastropidae,NA,Gastropus,hyptopus
Rotifera,NA,Monogononta,NA,Ploima,NA,Gastropidae,NA,Gastropus,stylifer
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Hexarthridae,NA,Hexarthra,mira
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Kellicottia,bostoniensis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Kellicottia,longispina
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,cochlearis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,crassa
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,earlinae
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,hiemalis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,quadrata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,serrulata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,taurocephala
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,tecta
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,testudo
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Keratella,valga
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,crepida
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,inermis
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,leontina
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,ludwigi
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,luna
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,mira
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,ohioensis
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,stokesi
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,tenuiseta
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,tudicola
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Lecane,ungulata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,Colurinae,Lepadella,acuminata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,Colurinae,Lepadella,ehrenbergi
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,Colurinae,Lepadella,ovalis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,Colurinae,Lepadella,patella
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,Colurinae,Lepadella,rhomboides
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,Colurinae,Lepadella,triptera
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,bulla
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,closterocerca
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,copeis
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,cornuta
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,lunaris
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,quadridentata
Rotifera,NA,Monogononta,NA,Ploima,NA,Lecanidae,NA,Monostyla,stenroosi
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,acuminata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,caudata
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,foliacea
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,labis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,laurentiae
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,michiganensis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Notholca,squamula
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Platyias,patulus
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Platyias,quadricornis
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Ploesoma,lenticulare
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Ploesoma,truncatum
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Polyarthra,dolichoptera
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Polyarthra,euryptera
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Polyarthra,major
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Polyarthra,remata
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Polyarthra,vulgaris
Rotifera,NA,Monogononta,NA,Flosculariaceae,NA,Testudinellidae,NA,Pompholyx,sulcata
Rotifera,NA,Monogononta,NA,Collothecaceae,NA,Conochilidae,NA,Stephanoceros,fimbriatus
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,asymmetrica
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,grandis
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,kitina
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,lakowitziana
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,oblonga
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,pectinata
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,stylata
Rotifera,NA,Monogononta,NA,Ploima,NA,Synchaetidae,NA,Synchaeta,tremula
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,cylindrica
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,lata
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,longiseta
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,mucosa
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,multicrinis
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,porcellus
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,pusilla
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,rattus
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,rousseleti
Rotifera,NA,Monogononta,NA,Ploima,NA,Trichocercidae,NA,Trichocerca,similis
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Trichotria,pocillum
Rotifera,NA,Monogononta,NA,Ploima,NA,Brachionidae,NA,Trichotria,tetractis
Rotifera,NA,Monogononta,NA,Ploima,NA,Tylotrochidae,NA,Tylotrocha,monopus
