Project,site_no,collect_date,Hour,sample_ID,DepthOfTow_m,InitialSampleVolume_mL,Subsample,SubsampleVolume_mL,Zooplankton_No.,date_processed,mesh_size_μm,INT,Notes,PhantomMidgePresence_YesNo
BVR2019,BVR_50_p,11-Jul-19,5:10,B_pel_11Jul19_sunrise_h2_rep1,4,500,C,1,45,13-Sep-19,80,HLW,,
BVR2019,BVR_l,10-Jul-19,11:37,B_mac_10Jul19_noon_rep1,2,200,A,2,22,4-Oct-19,80,HLW,*lost a couple mls when concentrating,
BVR2019,BVR_l,10-Jul-19,11:37,B_mac_10Jul19_noon_rep1,2,200,B,3,76,4-Oct-19,80,HLW,,
BVR2019,BVR_l,10-Jul-19,11:37,B_mac_10Jul19_noon_rep1,2,200,C,3,53,4-Oct-19,80,HLW,,
BVR2019,BVR_50_p,10-Jul-19,11:30,B_pel_10Jul19_noon_epi_rep1,4,500,A,1,15,4-Oct-19,80,HLW,,
BVR2019,BVR_50_p,10-Jul-19,11:30,B_pel_10Jul19_noon_epi_rep1,4,500,B,3,31,4-Oct-19,80,HLW,,
BVR2019,BVR_50_p,10-Jul-19,11:30,B_pel_10Jul19_noon_epi_rep1,4,500,C,5,130,4-Oct-19,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:43,B_mac_11Jul19_midnight_rep1,2,200,A,2,17,11-Oct-19,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:43,B_mac_11Jul19_midnight_rep1,2,200,B,3,18,11-Oct-19,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:43,B_mac_11Jul19_midnight_rep1,2,200,C,5,38,11-Oct-19,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:43,B_mac_11Jul19_midnight_rep1,2,200,D,5,46,11-Oct-19,80,HLW,,
BVR2019,BVR_50_p,11-Jul-19,0:25,B_pel_11Jul19_midnight_epi_rep1,4,500,A,1,62,11-Oct-19,80,HLW,"**up to this point, trichocerca is most likely collotheca!",
BVR2019,BVR_50_p,11-Jul-19,0:25,B_pel_11Jul19_midnight_epi_rep1,4,500,B,1,63,11-Oct-19,80,HLW,,
BVR2019,BVR_50_p,11-Jul-19,0:25,B_pel_11Jul19_midnight_epi_rep1,4,500,C,1,60,11-Oct-19,80,HLW,,
BVR2019,BVR_50,10-Jul-19,11:48,B_pel_10Jul19_noon_rep1,10,700,A,1,606,15-Jan-20,80,HLW,*diluted sample in 1L beaker so used 500 mL GC to measure 700 mL of H20 and then marked this on the beaker (slightly less than the 700 mL mark on beaker),
BVR2019,BVR_50,10-Jul-19,11:48,B_pel_10Jul19_noon_rep1,10,700,B,1,607,15-Jan-20,80,HLW,,
BVR2019,BVR_50,11-Jul-19,0:03,B_pel_11Jul19_midnight_rep2,10,1000,A,1,97,16-Jan-20,80,HLW,*diluted sample in 1L beaker so used 500 mL GC to measure 1000 mL of H20 and then marked this on the beaker (slightly less than the 1000 mL mark on beaker),
BVR2019,BVR_50,11-Jul-19,0:03,B_pel_11Jul19_midnight_rep2,10,1000,B,1,97,16-Jan-20,80,HLW,,
BVR2019,BVR_50,11-Jul-19,0:03,B_pel_11Jul19_midnight_rep2,10,1000,C,1,71,16-Jan-20,80,HLW,,
BVR2019,BVR_50,10-Jul-19,11:56,B_pel_10Jul19_noon_rep2,10,1000,A,1,373,17-Jan-20,80,HLW,*diluted sample in 1L beaker so used 500 mL GC to measure 1000 mL of H20 and then marked this on the beaker (slightly less than the 1000 mL mark on beaker),
BVR2019,BVR_50,10-Jul-19,11:56,B_pel_10Jul19_noon_rep2,10,1000,B,1,431,17-Jan-20,80,HLW,,
BVR2019,BVR_50,10-Jul-19,11:56,B_pel_10Jul19_noon_rep2,10,1000,C,1,360,17-Jan-20,80,HLW,,
BVR2019,BVR_50,11-Jul-19,23:53,B_pel_11Jul19_midnight_rep1,10,1000,A,1,58,19-Jan-20,80,HLW,*recounting this sample!,
BVR2019,BVR_50,11-Jul-19,23:53,B_pel_11Jul19_midnight_rep1,10,1000,B,1,64,19-Jan-20,80,HLW,,
BVR2019,BVR_50,11-Jul-19,23:53,B_pel_11Jul19_midnight_rep1,10,1000,C,1,93,19-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,18:45,B_dam_10Jul19_sunset_h1_rep1,2,500,A,1,22,20-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,18:45,B_dam_10Jul19_sunset_h1_rep1,2,500,B,4,40,20-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,18:45,B_dam_10Jul19_sunset_h1_rep1,2,500,C,4,30,20-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,18:45,B_dam_10Jul19_sunset_h1_rep1,2,500,D,4,24,20-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,18:45,B_dam_10Jul19_sunset_h1_rep1,2,500,E,4,33,20-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,19:45,B_dam_10Jul19_sunset_h2_rep1,2,300,B,1,20,21-Jan-20,80,HLW,*lost aliquot A,
BVR2019,BVR_d,10-Jul-19,19:45,B_dam_10Jul19_sunset_h2_rep1,2,300,C,2,10,21-Jan-20,80,HLW,diluted sample in 600 mL beaker - used 500 mL GC to measure 300 mL of H20 and then used tape to mark correct volume on beaker,
BVR2019,BVR_d,10-Jul-19,19:45,B_dam_10Jul19_sunset_h2_rep1,2,300,D,2,22,21-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,19:45,B_dam_10Jul19_sunset_h2_rep1,2,300,E,2,18,21-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,19:45,B_dam_10Jul19_sunset_h2_rep1,2,300,F,2,36,21-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,20:45,B_dam_10Jul19_sunset_h3_rep1,2,300,A,2,17,22-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,20:45,B_dam_10Jul19_sunset_h3_rep1,2,300,B,4,25,22-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,20:45,B_dam_10Jul19_sunset_h3_rep1,2,300,C,4,32,22-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,20:45,B_dam_10Jul19_sunset_h3_rep1,2,300,D,4,37,22-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,20:45,B_dam_10Jul19_sunset_h3_rep1,2,300,E,4,57,22-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,21:45,B_dam_10Jul19_sunset_h4_rep1,2,300,A,4,77,23-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,21:45,B_dam_10Jul19_sunset_h4_rep1,2,300,B,2,44,23-Jan-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,21:45,B_dam_10Jul19_sunset_h4_rep1,2,300,C,2,53,23-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,18:51,B_mac_10Jul19_sunset_h1_rep2,2,200,A,4,26,28-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,18:51,B_mac_10Jul19_sunset_h1_rep2,2,200,B,5,58,28-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,18:51,B_mac_10Jul19_sunset_h1_rep2,2,200,C,5,45,28-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,19:50,B_mac_10Jul19_sunset_h2_rep2,2,200,A,5,62,29-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,19:50,B_mac_10Jul19_sunset_h2_rep2,2,200,B,5,58,29-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,19:50,B_mac_10Jul19_sunset_h2_rep2,2,200,C,5,81,29-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,20:51,B_mac_10Jul19_sunset_h3_rep2,2,300,A,3,16,30-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,20:51,B_mac_10Jul19_sunset_h3_rep2,2,300,B,4,26,30-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,20:51,B_mac_10Jul19_sunset_h3_rep2,2,300,C,4,33,30-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,20:51,B_mac_10Jul19_sunset_h3_rep2,2,300,D,4,29,30-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,21:52,B_mac_10Jul19_sunset_h4_rep2,2,300,A,4,21,31-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,21:52,B_mac_10Jul19_sunset_h4_rep2,2,300,B,5,33,31-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,21:52,B_mac_10Jul19_sunset_h4_rep2,2,300,C,5,47,31-Jan-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,21:52,B_mac_10Jul19_sunset_h4_rep2,2,300,D,5,38,31-Jan-20,80,HLW,,
BVR2019,BVR_d,11-Jul-19,11:50,B_dam_11Jul19_midnight_rep1,2,1000,A,2,33,3-Feb-20,80,HLW,All Daphnia are inside their carapace!!,
BVR2019,BVR_d,11-Jul-19,11:50,B_dam_11Jul19_midnight_rep1,2,1000,B,3,20,3-Feb-20,80,HLW,,
BVR2019,BVR_d,11-Jul-19,11:50,B_dam_11Jul19_midnight_rep1,2,1000,C,4,23,3-Feb-20,80,HLW,,
BVR2019,BVR_d,11-Jul-19,11:50,B_dam_11Jul19_midnight_rep1,2,1000,D,5,39,3-Feb-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,11:31,B_dam_11Jul19_noon_rep1,2,200,A,5,26,3-Feb-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,11:31,B_dam_11Jul19_noon_rep1,2,200,B,5,59,3-Feb-20,80,HLW,,
BVR2019,BVR_d,10-Jul-19,11:31,B_dam_11Jul19_noon_rep1,2,200,C,5,21,3-Feb-20,80,HLW,,
FCR2019,FCR_50,22-Jul-19,12:00,F22Jul19_3.5m,3.5,1000,A,1,38,4-Feb-20,80,HLW,SSS on (MOM present; hypo is oxic),
FCR2019,FCR_50,22-Jul-19,12:00,F22Jul19_3.5m,3.5,1000,B,1,56,4-Feb-20,80,HLW,,
FCR2019,FCR_50,22-Jul-19,12:00,F22Jul19_3.5m,3.5,1000,C,1,101,4-Feb-20,80,HLW,,
FCR2019,FCR_50,22-Jul-19,12:00,F22Jul19_9.0m,9,1000,A,1,235,5-Feb-20,80,HLW,sooo many chaoborus!!,
FCR2019,FCR_50,22-Jul-19,12:00,F22Jul19_9.0m,9,1000,B,1,219,5-Feb-20,80,HLW,,
FCR2019,FCR_50,22-Jul-19,12:00,F22Jul19_9.0m,9,1000,C,1,238,5-Feb-20,80,HLW,,
FCR2019,FCR_50,28-Aug-19,12:00,F28Aug19_1.5m,1.5,1000,A,1,101,6-Feb-20,80,HLW,,
FCR2019,FCR_50,28-Aug-19,12:00,F28Aug19_1.5m,1.5,1000,B,1,101,6-Feb-20,80,HLW,,
FCR2019,FCR_50,28-Aug-19,12:00,F28Aug19_1.5m,1.5,1000,C,1,101,6-Feb-20,80,HLW,,
FCR2019,FCR_50,28-Aug-19,12:00,F28Aug19_9.0m,9,1000,A,1,44,7-Feb-20,80,HLW,,
FCR2019,FCR_50,28-Aug-19,12:00,F28Aug19_9.0m,9,1000,B,1,110,7-Feb-20,80,HLW,,
FCR2019,FCR_50,28-Aug-19,12:00,F28Aug19_9.0m,9,1000,C,1,87,7-Feb-20,80,HLW,,
FCR2019,FCR_50,19-Aug-19,12:00,F19Aug19_1.5m,1.5,1000,A,1,70,13-Feb-20,80,HLW,rotifer densities might be slightly overestimated if some plomida are actually eggs,
FCR2019,FCR_50,19-Aug-19,12:00,F19Aug19_1.5m,1.5,1000,B,1,75,13-Feb-20,80,HLW,,
FCR2019,FCR_50,19-Aug-19,12:00,F19Aug19_1.5m,1.5,1000,C,1,71,13-Feb-20,80,HLW,,
FCR2019,FCR_50,19-Aug-19,12:00,F19Aug19_9.0m,9,1000,A,1,107,14-Feb-20,80,HLW,,
FCR2019,FCR_50,19-Aug-19,12:00,F19Aug19_9.0m,9,1000,B,1,121,14-Feb-20,80,HLW,x4 chaoborus,Yes
FCR2019,FCR_50,19-Aug-19,12:00,F19Aug19_9.0m,9,1000,C,1,125,14-Feb-20,80,HLW,,
FCR2019,FCR_50,13-Jun-19,12:00,F13Jun19_3.0m,3,1000,A,1,61,20-Feb-20,80,HLW,replaced sieve right before this sample- no longer viable because sieve was not properly glued,
FCR2019,FCR_50,13-Jun-19,12:00,F13Jun19_3.0m,3,1000,B,1,64,20-Feb-20,80,HLW,,
FCR2019,FCR_50,13-Jun-19,12:00,F13Jun19_3.0m,3,1000,C,1,74,20-Feb-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,4:17,B_mac_11Jul19_sunrise_h1_rep2,2,200,A,1,25,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,4:17,B_mac_11Jul19_sunrise_h1_rep2,2,200,B,1,21,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,4:17,B_mac_11Jul19_sunrise_h1_rep2,2,200,C,3,152,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,4:17,B_mac_11Jul19_sunrise_h1_rep2,2,200,D,1,15,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,5:17,B_mac_11Jul19_sunrise_h2_rep2,2,200,A,2,42,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,5:17,B_mac_11Jul19_sunrise_h2_rep2,2,200,B,2,38,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,5:17,B_mac_11Jul19_sunrise_h2_rep2,2,200,C,2,40,1-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,6:10,B_mac_11Jul19_sunrise_h3_rep1,2,200,A,5,36,2-Apr-20,80,HLW,x1 little chaoborus,
BVR2019,BVR_l,11-Jul-19,6:10,B_mac_11Jul19_sunrise_h3_rep1,2,200,B,5,50,2-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,6:10,B_mac_11Jul19_sunrise_h3_rep1,2,200,C,5,26,2-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,6:10,B_mac_11Jul19_sunrise_h3_rep2,2,200,A,5,40,2-Apr-20,80,HLW,lots of large phytos and diatoms,
BVR2019,BVR_l,11-Jul-19,6:10,B_mac_11Jul19_sunrise_h3_rep2,2,200,B,5,46,2-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,6:10,B_mac_11Jul19_sunrise_h3_rep2,2,200,C,5,37,2-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,7:10,B_mac_11Jul19_sunrise_h4_rep1,2,200,A,5,40,6-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,7:10,B_mac_11Jul19_sunrise_h4_rep1,2,200,B,5,22,6-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,7:10,B_mac_11Jul19_sunrise_h4_rep1,2,200,C,5,17,6-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,7:10,B_mac_11Jul19_sunrise_h4_rep1,2,200,D,5,14,6-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,7:16,B_mac_11Jul19_sunrise_h4_rep2,2,200,A,5,30,6-Apr-20,80,HLW,tiny chaoborus,
BVR2019,BVR_l,11-Jul-19,7:16,B_mac_11Jul19_sunrise_h4_rep2,2,200,B,5,43,6-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,7:16,B_mac_11Jul19_sunrise_h4_rep2,2,200,C,5,30,6-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,11:31,B_mac_11Jul19_noon_rep1,2,200,A,5,23,7-Apr-20,80,HLW,"lots of stuff, few crustaceans",
BVR2019,BVR_l,11-Jul-19,11:31,B_mac_11Jul19_noon_rep1,2,200,B,5,32,7-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,11:31,B_mac_11Jul19_noon_rep1,2,200,C,5,29,7-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,11:31,B_mac_11Jul19_noon_rep1,2,200,D,5,34,7-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,11:35,B_mac_11Jul19_noon_rep2,2,200,A,5,52,7-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,11:35,B_mac_11Jul19_noon_rep2,2,200,B,5,85,7-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,11:35,B_mac_11Jul19_noon_rep2,2,200,C,5,74,7-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:50,B_mac_11Jul19_midnight_rep2,2,200,A,4,79,8-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:50,B_mac_11Jul19_midnight_rep2,2,200,B,4,27,8-Apr-20,80,HLW,,
BVR2019,BVR_l,11-Jul-19,23:50,B_mac_11Jul19_midnight_rep2,2,200,C,4,46,8-Apr-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,11:43,B_mac_10Jul19_noon_rep2,2,200,A,5,47,13-Apr-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,11:43,B_mac_10Jul19_noon_rep2,2,200,B,5,32,13-Apr-20,80,HLW,,
BVR2019,BVR_l,10-Jul-19,11:43,B_mac_10Jul19_noon_rep2,2,200,C,5,40,13-Apr-20,80,HLW,,
BVR2019,BVR_50,10-Jul-19,12:03,B_pel_10Jul19_noon_rep3,10,1000,A,1,279,13-Apr-20,80,HLW,,
BVR2019,BVR_50,10-Jul-19,12:03,B_pel_10Jul19_noon_rep3,10,1000,B,1,276,13-Apr-20,80,HLW,,
BVR2019,BVR_50,10-Jul-19,12:03,B_pel_10Jul19_noon_rep3,10,1000,C,1,283,13-Apr-20,80,HLW,,
FCR2019,FCR_50,10-Jun-19,12:00,F10Jun19_3.0m,3,1000,A,1,56,14-Apr-20,80,HLW,,
FCR2019,FCR_50,10-Jun-19,12:00,F10Jun19_3.0m,3,1000,B,1,79,14-Apr-20,80,HLW,,
FCR2019,FCR_50,10-Jun-19,12:00,F10Jun19_3.0m,3,1000,C,1,78,14-Apr-20,80,HLW,,
FCR2019,FCR_50,10-Jun-19,12:00,F10Jun19_8.0m,8,1000,A,1,107,14-Apr-20,80,HLW,,
FCR2019,FCR_50,10-Jun-19,12:00,F10Jun19_8.0m,8,1000,B,1,148,14-Apr-20,80,HLW,,
FCR2019,FCR_50,10-Jun-19,12:00,F10Jun19_8.0m,8,1000,C,1,90,14-Apr-20,80,HLW,,
FCR2019,FCR_50,8-Jul-19,12:00,F08Jul19_9.0m,9,1000,A,1,187,15-Apr-20,80,HLW,x1 chaoborus,yes
FCR2019,FCR_50,8-Jul-19,12:00,F08Jul19_9.0m,9,1000,B,1,175,15-Apr-20,80,HLW,,
FCR2019,FCR_50,8-Jul-19,12:00,F08Jul19_9.0m,9,1000,C,1,191,15-Apr-20,80,HLW,,
FCR2019,FCR_50,8-Jul-19,12:00,F08Jul19_3.0m,3,1000,A,1,57,19-Apr-20,80,HLW,,
FCR2019,FCR_50,8-Jul-19,12:00,F08Jul19_3.0m,3,1000,B,1,77,19-Apr-20,80,HLW,,
FCR2019,FCR_50,8-Jul-19,12:00,F08Jul19_3.0m,3,1000,C,1,70,19-Apr-20,80,HLW,,
FCR2019,FCR_50,15-Jul-19,12:00,F15Jul19_9.0m,9,1000,A,1,171,20-Apr-20,80,HLW,,
FCR2019,FCR_50,15-Jul-19,12:00,F15Jul19_9.0m,9,1000,B,1,350,20-Apr-20,80,HLW,,
FCR2019,FCR_50,15-Jul-19,12:00,F15Jul19_9.0m,9,1000,C,1,258,20-Apr-20,80,HLW,,
FCR2019,FCR_50,15-Jul-19,12:00,F15Jul19_3.5m,3.5,1000,A,1,76,20-Apr-20,80,HLW,,
FCR2019,FCR_50,15-Jul-19,12:00,F15Jul19_3.5m,3.5,1000,B,1,81,20-Apr-20,80,HLW,,
FCR2019,FCR_50,15-Jul-19,12:00,F15Jul19_3.5m,3.5,1000,C,1,69,20-Apr-20,80,HLW,x1 chaoborus,yes
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_9.0m,9,1000,A,1,44,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_9.0m,9,1000,B,1,23,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_9.0m,9,1000,C,1,15,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_9.0m,9,1000,D,1,15,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_9.0m,9,1000,E,1,36,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_2.0m,2,1000,A,2,100,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_2.0m,2,1000,B,1,30,21-Apr-20,80,HLW,,
FCR2019,FCR_50,14-Aug-19,12:00,F14Aug19_2.0m,2,1000,C,2,78,21-Apr-20,80,HLW,,
FCR2019,FCR_50,22-Aug-19,12:00,F22Aug19_9.0m,9,1000,A,1,74,22-Apr-20,80,HLW,,
FCR2019,FCR_50,22-Aug-19,12:00,F22Aug19_9.0m,9,1000,B,1,92,22-Apr-20,80,HLW,,
