Date,Depth_m,Temp_C,Chla_ugL,Turb_NTU,Cond_uScm,Spec_Cond_uScm,DO_mgL,DO_pSat,pH,ORP_mV,PAR,Salinity,Descent.Rate..m.s.,Density_mg_m3,Flag,time
2019-07-24T11:30:30Z,1.751,25.8156,2.0964,1.3375,27.412,27.859891,6.8764,84.471,6.716,301.422,57.963,1.392574616928127,0.053,996.8577,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.764,25.8153,2.1295,1.358,27.425,27.871984,6.8797,84.51,6.716,301.3326,57.612,1.3932801101476306,0.052,996.8578,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.776,25.8142,2.1489,1.381,27.443,27.889621000000002,6.8845,84.567,6.717,301.2502,57.234,1.394277365225886,0.05,996.8582,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.788,25.8123,2.1488,1.354,27.436,27.882805,6.8902,84.636,6.719,301.2865,56.88,1.3939582083650877,0.048,996.8587,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.8,25.8101,2.1628,1.3262,27.407,27.853012,6.8956,84.702,6.721,301.3418,56.56,1.3924685772837648,0.047,996.8593,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.812,25.8086,2.1879,1.3407,27.401,27.846625,6.8961,84.708,6.722,301.3164,56.341,1.392191118191321,0.046,996.8598,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.824,25.8078,2.2009,1.3648,27.424,27.869025,6.8901,84.633,6.724,301.2379,56.118,1.3934475999084912,0.045,996.86,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.835,25.8072,2.2074,1.3556,27.425,27.870064,6.8815,84.527,6.726,301.2529,55.806,1.393518827077546,0.045,996.8602,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.846,25.8069,2.1976,1.3274,27.415,27.859191,6.8743,84.438,6.726,301.411,55.497,1.3929914535757961,0.045,996.8604,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.857,25.8064,2.1603,1.3186,27.42,27.864443,6.8705,84.392,6.727,301.5153,55.127,1.393274143781028,0.046,996.8606,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.868,25.806,2.1302,1.3472,27.425,27.870126,6.8713,84.401,6.727,301.5675,54.694,1.3935538977278636,0.047,996.8608,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.88,25.8056,2.1284,1.3788,27.42,27.864454,6.8749,84.446,6.727,301.6976,54.292,1.3932974971562082,0.048,996.8609,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.893,25.8057,2.1381,1.373,27.415,27.859309,6.8805,84.515,6.728,301.798,53.889,1.3930263176964817,0.048,996.8609,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.907,25.8059,2.1695,1.3428,27.426,27.871355,6.8859,84.581,6.728,301.7485,53.413,1.3936099304148208,0.048,996.861,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.919,25.806,2.2211,1.3088,27.437,27.88321,6.8899,84.631,6.728,301.788,52.942,1.3941965429797072,0.047,996.8609,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.931,25.8061,2.2515,1.2896,27.43,27.875769,6.8912,84.647,6.728,301.9311,52.497,1.3938181275767438,0.046,996.861,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.942,25.8058,2.259,1.3075,27.4,27.844833,6.887,84.596,6.728,302.0151,52.019,1.392218541028572,0.044,996.8611,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.954,25.8062,2.2337,1.3282,27.381,27.826386,6.8821,84.536,6.729,302.1164,51.505,1.3911880226104203,0.042,996.8611,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.964,25.8067,2.1802,1.3111,27.397,27.843052,6.8813,84.525,6.731,302.1236,50.965,1.3920308071503167,0.041,996.861,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.973,25.8068,2.1491,1.2964,27.411,27.856012,6.8813,84.525,6.732,302.1025,50.452,1.3927782500679946,0.041,996.861,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.983,25.8069,2.1438,1.314,27.411,27.856202,6.8788,84.495,6.732,302.2053,49.892,1.3927751681164824,0.041,996.861,0,24 Jul 11:30
2019-07-24T11:30:30Z,1.993,25.8067,2.1597,1.3276,27.4,27.845347,6.8745,84.442,6.731,302.3339,49.265,1.3921912561959002,0.041,996.8611,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.004,25.8065,2.1853,1.298,27.406,27.851649,6.8713,84.402,6.73,302.452,48.617,1.3925186654691915,0.041,996.8612,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.017,25.8062,2.193,1.251,27.424,27.868953,6.8711,84.399,6.73,302.6005,47.947,1.393492337526198,0.041,996.8614,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.028,25.8061,2.2015,1.2505,27.419,27.864233,6.8751,84.448,6.731,302.753,47.325,1.3932270899776984,0.04,996.8614,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.037,25.8058,2.2608,1.2918,27.413,27.858032,6.8827,84.542,6.732,302.8335,46.712,1.3929141785025334,0.039,996.8615,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.046,25.8057,2.3465,1.324,27.413,27.857417,6.8896,84.626,6.732,302.8861,46.102,1.392917026152267,0.039,996.8616,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.054,25.8057,2.3799,1.3125,27.412,27.856793,6.8944,84.685,6.731,303.045,45.553,1.392863291716874,0.04,996.8616,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.064,25.8055,2.3702,1.2835,27.406,27.850496,6.8984,84.734,6.73,303.2913,45.056,1.392547423755999,0.041,996.8617,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.075,25.8056,2.3587,1.3005,27.4,27.844719,6.8996,84.749,6.73,303.4548,44.659,1.3922226606341865,0.043,996.8618,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.087,25.8058,2.3447,1.3225,27.405,27.850391,6.8976,84.725,6.73,303.5596,44.325,1.3924846254015752,0.043,996.8617,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.1,25.8058,2.3232,1.286,27.41,27.855634,6.8953,84.696,6.73,303.6981,44.049,1.3927524929030013,0.043,996.8618,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.112,25.8056,2.3072,1.2533,27.4,27.844667,6.8938,84.677,6.729,303.8394,43.854,1.3922221363593266,0.041,996.8619,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.123,25.8055,2.3154,1.2875,27.4,27.844676,6.8916,84.65,6.728,303.8914,43.66,1.3922249549918413,0.036,996.862,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.132,25.8056,2.3444,1.3391,27.411,27.855749,6.8874,84.598,6.726,303.8954,43.517,1.3928115905135185,0.03,996.862,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.138,25.8055,2.3717,1.3522,27.407,27.85165,6.881,84.52,6.724,303.9749,43.434,1.3926000397253973,0.022,996.8621,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.143,25.8053,2.3771,1.3481,27.414,27.858562,6.8755,84.451,6.723,304.0784,43.27,1.3929811441575017,0.014,996.8621,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.146,25.8048,2.3745,1.3555,27.431,27.875873,6.8749,84.445,6.723,304.1999,43.075,1.393907293767886,0.008,996.8623,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.146,25.8046,2.3833,1.3436,27.426,27.870631,6.8794,84.5,6.723,304.3261,42.92,1.3936451462181003,0.004,996.8623,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.144,25.8047,2.3878,1.3022,27.413,27.858623,6.8851,84.571,6.724,304.3992,42.762,1.3929452685153183,0.003,996.8623,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.142,25.8044,2.3776,1.2805,27.411,27.857573,6.8905,84.64,6.726,304.4811,42.773,1.3928469613623304,0.004,996.8624,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.142,25.8041,2.3645,1.3113,27.411,27.857942,6.8953,84.701,6.727,304.6284,42.928,1.3928558353718161,0.007,996.8624,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.146,25.8048,2.3329,1.3463,27.415,27.863082,6.897,84.723,6.728,304.8031,43.026,1.393049505518935,0.014,996.8623,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.15,25.8061,2.2809,1.3112,27.409,27.856273,6.8934,84.678,6.728,304.8732,43.164,1.3926893342146116,0.022,996.862,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.155,25.8072,2.248,1.28,27.393,27.839065,6.8887,84.618,6.728,304.8738,43.33,1.3917990505654037,0.032,996.8617,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.163,25.8085,2.2388,1.2961,27.4,27.845353,6.8878,84.604,6.728,305.0685,43.408,1.3921357788640105,0.042,996.8614,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.176,25.8098,2.2559,1.3101,27.424,27.868849,6.889,84.616,6.727,305.3337,43.444,1.3933836697366615,0.05,996.8611,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.192,25.8094,2.2908,1.3179,27.425,27.869369,6.8898,84.625,6.723,305.4132,43.427,1.3934488782253016,0.056,996.8613,0,24 Jul 11:30
2019-07-24T11:30:30Z,2.21,25.8074,2.3129,1.2923,27.408,27.851641,6.8904,84.632,6.718,305.428,43.366,1.3925964924292948,0.058,996.8619,0,24 Jul 11:30
